date,open,high,low,close,volume
5/30/19,177.95,179.23,176.67,178.3,21218412
5/29/19,176.42,179.35,176,177.38,28481164
5/28/19,178.92,180.59,177.91,178.23,27948160
5/24/19,180.2,182.14,178.62,178.97,23714686
5/23/19,179.8,180.54,177.81,179.66,36529736
5/22/19,184.66,185.71,182.55,182.78,29748556
5/21/19,185.22,188,184.7,186.6,28364848
5/20/19,183.52,184.35,180.28,183.09,38612288
5/17/19,186.93,190.9,186.76,189,32879090
5/16/19,189.91,192.47,188.84,190.08,33031364
5/15/19,186.27,191.75,186.02,190.92,26544718
5/14/19,186.41,189.7,185.41,188.66,36529676
5/13/19,187.71,189.48,182.85,185.72,57430624
5/10/19,197.42,198.85,192.77,197.18,41208712
5/9/19,199.63,200.91,195.91,199.95,35043040
5/8/19,201.13,204.55,200.98,202.12,26440936
5/7/19,205.09,206.62,200.05,202.08,38912976
5/6/19,203.51,208.04,202.72,207.68,32568050
5/3/19,210.08,211.03,209.42,210.94,20972832
5/2/19,209.04,211.83,207.33,208.35,32119540
5/1/19,209.07,214.48,208.43,209.71,65076976
4/30/19,202.28,202.62,198.35,199.9,46714128
4/29/19,203.62,205.18,203.08,203.83,22290224
4/26/19,204.11,204.21,201.34,203.52,18720920
4/25/19,206.04,206.96,204.33,204.49,18614616
4/24/19,206.56,207.68,206.26,206.37,17608156
4/23/19,203.65,206.95,203.12,206.68,23412806
4/22/19,202.05,204.15,201.56,203.75,19514404
4/18/19,202.34,203.37,201.74,203.08,24288944
4/17/19,198.77,202.6,197.85,202.35,29018098
4/16/19,198.69,200.6,197.8,198.49,25795340
4/15/19,197.82,199.08,197.25,198.47,17604178
4/12/19,198.44,199.37,195.46,198.11,27867572
4/11/19,200.08,200.23,197.68,198.19,20981296
4/10/19,197.92,199.97,197.42,199.85,21778836
4/9/19,199.55,202.07,198.47,198.73,35905980
4/8/19,195.67,199.46,195.59,199.33,25981366
4/5/19,195.7,196.34,195.18,196.24,18597988
4/4/19,194.04,195.62,192.4,194.94,19187884
4/3/19,192.51,195.75,192.41,194.6,23361448
4/2/19,190.36,193.71,190.32,193.28,22853400
